Date,model_eon,model_rwe
2018-12-31,10.000116143972559,
2019-01-02,10.055719063842233,18.128062624519533
2019-01-03,9.990220365990789,18.354212522543357
2019-01-04,9.994109300950893,18.341402844973153
2019-01-07,9.950291835554959,18.117568715419946
2019-01-08,9.89864247375994,18.437733469949865
2019-01-09,9.76817565351253,18.445364352920564
2019-01-10,9.964465804348169,18.323461572985696
2019-01-11,10.029533386938878,18.149454956250274
2019-01-14,10.07732461184249,18.590586499489994
2019-01-15,9.92815570665916,18.38421426200087
2019-01-16,10.105458812516233,18.48127541850061
2019-01-17,9.80523213330749,18.427646984295713
2019-01-18,10.08544850848669,18.332553650321852
2019-01-21,,18.528158874620427
2019-01-22,10.059565890263347,18.25571731550142
2019-01-23,10.243759973125687,18.666513436218114
2019-01-24,9.928634940093055,18.651034519219266
2019-01-25,10.198894428608641,18.689296509930653
2019-01-28,10.081924343770115,18.46830543134196
2019-01-29,10.038748331903923,18.61507823760892
2019-01-30,10.117132196944265,18.074295558610725
2019-01-31,10.059197649565327,18.77472293202278
2019-02-01,10.016091495086467,18.625394147705066
2019-02-04,10.275185660975751,18.5940355300111
2019-02-05,10.235508572971758,18.80490204374541
2019-02-06,10.023272140114457,18.50935702274639
2019-02-07,10.148269566100058,18.655425876079413
2019-02-08,10.16053827600853,18.908923650828278
2019-02-11,10.315191331333713,18.937114442037178
2019-02-12,10.183855293122328,18.750866836000306
2019-02-13,10.265332579740319,18.627308592517775
2019-02-14,10.069545875815322,18.749767706030184
2019-02-15,10.366871873025957,18.649846620000226
2019-02-18,,18.95412960703255
2019-02-19,10.247807256908407,18.474512607875948
2019-02-20,10.354337156288548,18.802129139840233
2019-02-21,10.195000656837527,19.034539870394756
2019-02-22,10.202407137874532,18.59669774488622
2019-02-25,10.160214760824157,18.784006670008605
2019-02-26,10.346062242027385,19.089992983630466
2019-02-27,10.220799016667673,18.735095235284557
2019-02-28,10.246673817241005,18.97662192301723
2019-03-01,10.357279381699962,18.734035488733767
2019-03-04,10.269244084280249,18.795532810913812
2019-03-05,10.31618270223644,19.046017366472515
2019-03-06,10.352036610714036,19.16950589138615
2019-03-07,10.317861007452654,18.72052761029667
2019-03-08,10.288594848883841,19.190193045550735
2019-03-11,10.242852637885909,18.954345145736387
2019-03-12,10.362530674422063,18.90075667982059
2019-03-13,10.345613800868678,19.323090505597158
2019-03-14,10.474460596940299,19.082736874578366
2019-03-15,10.440405335767739,19.409595647832234
2019-03-18,10.446074256387018,18.969869644721573
2019-03-19,10.28019142769326,18.86236890300865
2019-03-20,10.292107669508804,19.352795423745714
2019-03-21,10.399045682597029,19.318553180668232
2019-03-22,10.538449837170452,19.036849538993582
2019-03-25,10.677909827709595,19.205587138462775
2019-03-26,10.292718954698811,19.247824797221732
2019-03-27,10.426225771324088,19.177343442274722
2019-03-28,10.39201853690293,19.06254337162894
2019-03-29,10.302142352671371,19.050841671444218
2019-04-01,10.25151159978918,19.216558645763634
2019-04-02,10.372060833414299,19.2078322904934
2019-04-03,10.450001954565593,18.737312861295326
2019-04-04,10.590732835200642,19.205851942001637
2019-04-05,10.517100997485075,19.44946928573501
2019-04-08,10.641650170757693,19.222273916251112
2019-04-09,10.650752748642189,19.366185853885213
2019-04-10,10.542476339918679,19.27847796747582
2019-04-11,10.561294425685494,19.301289919068054
2019-04-12,10.651227937177422,19.548990208842987
2019-04-15,10.521914641291001,19.33710245254687
2019-04-16,10.698295387156902,19.270525920175203
2019-04-17,10.560895197370074,19.59462861946779
2019-04-18,10.655339629433511,19.38361273989494
2019-04-22,10.674990515212457,
2019-04-23,10.36413973073356,19.245519824882656
2019-04-24,10.611967541571152,19.4436859384995
2019-04-25,10.549694072993725,19.460469945442195
2019-04-26,10.50641800801801,19.502130946306103
2019-04-29,10.618894025384867,19.47952128923347
2019-04-30,10.602117879233212,19.53097540306811
2019-05-01,10.629100874746474,
2019-05-02,10.504001617806805,19.84125556624589
2019-05-03,10.60310723969344,19.60266365794416
2019-05-06,10.79399916267053,19.37222954550499
2019-05-07,10.640622329289576,19.65014710949075
2019-05-08,10.642085173772879,19.49447062130872
2019-05-09,10.656970926868137,19.58683562812881
2019-05-10,10.654445047762215,19.59548279931743
2019-05-13,10.6634234547451,19.833877420342922
2019-05-14,10.575816856473097,19.858558272284306
2019-05-15,10.687469117419479,19.70598029434115
2019-05-16,10.678006358512299,19.759649906627683
2019-05-17,10.761130849843644,19.7907288201266
2019-05-20,10.615256778218727,19.801262359101308
2019-05-21,10.873178489695873,19.929388108118665
2019-05-22,10.730413098610075,19.13093793535601
2019-05-23,10.926067233577532,19.879731800959977
2019-05-24,10.726074466630774,19.879698810223633
2019-05-27,,19.669534752570595
2019-05-28,10.779104657534123,19.800510513792926
2019-05-29,10.914634073511566,19.908748106459104
2019-05-30,10.828293962390969,19.864713523087957
2019-05-31,10.886801768635896,19.691479692033777
2019-06-03,10.759569567611399,19.95015590386782
2019-06-04,10.94604431412265,20.168599894006153
2019-06-05,10.759695123049058,19.91340149741433
2019-06-06,10.756552594711136,19.977076568181484
2019-06-07,10.784327228812659,20.103321972603393
2019-06-10,10.76739990204207,
2019-06-11,10.710398546123043,19.666771195851464
2019-06-12,10.922536398363384,20.041418460206014
2019-06-13,10.978964517443254,19.80725731406986
2019-06-14,11.023306919732645,19.8646422988148
2019-06-17,10.841530417031848,20.076954339303974
2019-06-18,11.030218946331722,20.114141515558423
2019-06-19,10.977489117177278,20.073891103412194
2019-06-20,10.90604970740025,19.973981828110688
2019-06-21,11.025046740777809,19.95148541984962
2019-06-24,10.99466152901846,20.26513616411542
2019-06-25,10.852996099622223,20.016070809958144
2019-06-26,10.819049375085312,20.11882390200257
2019-06-27,11.01609572363779,20.124521572807726
2019-06-28,11.00338746760469,20.164898107509643
2019-07-01,10.955076205517432,20.19313976710674
2019-07-02,10.950279219427857,20.066518308549757
2019-07-03,10.981611937726038,20.090108117375234
2019-07-04,,20.11782456560542
2019-07-05,10.91875075254145,20.461960845808356
2019-07-08,10.936631283601915,20.38478960734909
2019-07-09,10.764720202257152,20.298358147254497
2019-07-10,11.157612998948798,20.293571937852835
2019-07-11,10.965943445131098,20.27885587190176
2019-07-12,11.007146519988822,20.352794171997694
2019-07-15,10.816822723586224,20.28706336720946
2019-07-16,11.108693230868095,20.06085568301198
2019-07-17,11.009995686461128,20.311733459073462
2019-07-18,10.994741523478838,20.410189420229283
2019-07-19,11.104040886544798,20.464870575528725
2019-07-22,11.054913656718522,20.425597346399467
2019-07-23,11.160419365851217,20.533113080634145
2019-07-24,10.898266950465777,20.4221030114104
2019-07-25,11.161418106592413,20.404024823816602
2019-07-26,11.258959250497446,20.653478606031825
2019-07-29,11.335395114338121,20.474794815635285
2019-07-30,11.043919018516238,20.40925070519666
2019-07-31,11.32138426587095,20.052932428480545
2019-08-01,11.126640945312671,20.415572282842124
2019-08-02,11.21369109092139,20.676187874241947
2019-08-05,11.097610613863758,20.515914567030137
2019-08-06,11.150803747283275,20.546807851681976
2019-08-07,11.166071237389117,20.386837576171793
